drg,procedure_id,procedure_name,provider_id,provider_name,address,city,state,zip_code,region,total_discharges,average_covered_charges,average_totalPayments,average_medicare_payments,patient_oop_payments
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,200024,CENTRAL MAINE MEDICAL CENTER,300 MAIN STREET,LEWISTON,Maine,4240,ME - Portland,141,31216.77,13160.48,11244.34,1916.14
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,200025,PARKVIEW ADVENTIST MEDICAL CENTER,329 MAIN ST,BRUNSWICK,Maine,4011,ME - Portland,26,35022,12361.54,11172,1189.54
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,200031,CARY MEDICAL CENTER,"163 VAN BUREN RD, SUITE 1",CARIBOU,Maine,4736,ME - Bangor,49,35297.9,14950.47,12115.55,2834.92
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,200033,EASTERN MAINE MEDICAL CENTER,PO BOX 404,BANGOR,Maine,4401,ME - Bangor,269,39460.78,14328.88,11574.28,2754.6
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,200034,ST MARYS REGIONAL MEDICAL CENTER,CAMPUS AVENUE - PO BOX 7291,LEWISTON,Maine,4240,ME - Portland,143,49141.12,13693.87,12398.76,1295.11
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,200039,MAINEGENERAL MEDICAL CENTER,35 MEDICAL CENTER PARKWAY,AUGUSTA,Maine,4330,ME - Portland,154,38813.82,13918.62,12124.51,1794.11
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,200041,INLAND HOSPITAL,200 KENNEDY MEMORIAL DRIVE,WATERVILLE,Maine,4901,ME - Portland,42,34689.31,17668.36,16418.86,1249.5
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,200050,MAINE COAST MEMORIAL HOSPITAL,50 UNION STREET,ELLSWORTH,Maine,4605,ME - Bangor,29,36752.72,14010.76,12860.41,1150.35
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,200052,NORTHERN MAINE MEDICAL CENTER,194 E MAIN STREET,FORT KENT,Maine,4743,ME - Bangor,17,37310.65,20900.65,19656.18,1244.47
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,200063,PENOBSCOT BAY MEDICAL CENTER,6 GLEN COVE DRIVE,ROCKPORT,Maine,4856,ME - Portland,62,32722.77,15911.89,13941.79,1970.1
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210001,MERITUS MEDICAL CENTER,11116 MEDICAL CAMPUS ROAD,HAGERSTOWN,Maryland,21742,DC - Washington,392,19799.54,18434.21,15660.07,2774.14
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210002,UNIVERSITY OF MARYLAND MEDICAL CENTER,22 SOUTH  GREENE STREET,BALTIMORE,Maryland,21201,MD - Baltimore,41,40467.68,37397.27,34553.95,2843.32
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210003,PRINCE GEORGES  HOSPITAL CENTER,3001 HOSPITAL DRIVE,CHEVERLY,Maryland,20785,MD - Takoma Park,27,31330.78,28882.19,27868.56,1013.63
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210004,HOLY CROSS HOSPITAL,1500 FOREST GLEN ROAD,SILVER SPRING,Maryland,20910,MD - Takoma Park,201,22724.3,21464.33,19171.17,2293.16
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210005,FREDERICK MEMORIAL HOSPITAL,400 WEST SEVENTH ST,FREDERICK,Maryland,21701,DC - Washington,343,17971.77,16646.04,14835.45,1810.59
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210006,UNIVERSITY OF MARYLAND HARFORD MEMORIAL HOSPITAL,501 SOUTH  UNION AVENUE,HAVRE DE GRACE,Maryland,21078,MD - Baltimore,37,31929.78,29571.92,27114.11,2457.81
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210008,MERCY MEDICAL CENTER INC,301 SAINT PAUL PLACE,BALTIMORE,Maryland,21202,MD - Baltimore,607,17953.85,16667.88,14451.71,2216.17
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210009,"JOHNS HOPKINS HOSPITAL, THE",600 NORTH  WOLFE STREET,BALTIMORE,Maryland,21287,MD - Baltimore,22,39645.09,36661.5,33939.68,2721.82
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210011,SAINT AGNES HOSPITAL,900 CATON AVENUE,BALTIMORE,Maryland,21229,MD - Baltimore,333,17423.39,16109.53,14331.09,1778.44
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210012,SINAI HOSPITAL OF BALTIMORE,2401 WEST BELVEDERE AVENUE,BALTIMORE,Maryland,21215,MD - Baltimore,356,26523.05,24703.82,21732.59,2971.23
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210015,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,9000 FRANKLIN SQUARE DRIVE,BALTIMORE,Maryland,21237,MD - Baltimore,210,22887.02,21253.49,18711,2542.49
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210016,ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL,7600 CARROLL AVENUE,TAKOMA PARK,Maryland,20912,MD - Takoma Park,46,29448.65,27151.46,25981.28,1170.18
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210017,GARRETT COUNTY MEMORIAL HOSPITAL,251 NORTH  FOURTH STREET,OAKLAND,Maryland,21550,WV - Morgantown,111,17757,16398.05,14986.67,1411.38
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210018,MEDSTAR MONTGOMERY MEDICAL CENTER,18101 PRINCE PHILIP DRIVE,OLNEY,Maryland,20832,MD - Takoma Park,128,18982.26,17636.59,15288.35,2348.24
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210019,PENINSULA REGIONAL MEDICAL CENTER,100 EAST CARROLL AVENUE,SALISBURY,Maryland,21801,MD - Salisbury,409,21132.65,19582.65,17897.36,1685.29
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210022,SUBURBAN HOSPITAL,8600 OLD GEORGETOWN ROAD,BETHESDA,Maryland,20814,DC - Washington,929,18677.42,17356.13,14987.44,2368.69
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210023,ANNE ARUNDEL MEDICAL CENTER,2001 MEDICAL PARKWAY,ANNAPOLIS,Maryland,21401,DC - Washington,943,19449.7,18050.47,15886.15,2164.32
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210024,MEDSTAR UNION MEMORIAL HOSPITAL,201 EAST UNIVERSITY PARKWAY,BALTIMORE,Maryland,21218,MD - Baltimore,611,21400.89,19989.68,16332.95,3656.73
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210027,WESTERN MARYLAND REGIONAL MEDICAL CENTER,12500 WILLOWBROOK ROAD,CUMBERLAND,Maryland,21502,DC - Washington,252,22394.69,20775.82,19165.37,1610.45
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210028,MEDSTAR SAINT MARY'S HOSPITAL,25500 POINT LOOKOUT ROAD,LEONARDTOWN,Maryland,20650,DC - Washington,166,22680.33,20941.82,19468.37,1473.45
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210029,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,4940 EASTERN AVENUE,BALTIMORE,Maryland,21224,MD - Baltimore,211,20274.56,18822.19,16569.6,2252.59
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210030,UNIVERSITY OF MD SHORE MEDICAL CTR AT CHESTERTOWN,100 BROWN STREET,CHESTERTOWN,Maryland,21620,MD - Baltimore,32,35260.91,32505.09,31371.47,1133.62
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210032,UNION HOSPITAL OF CECIL COUNTY,106 BOW STREET,ELKTON,Maryland,21921,DE - Wilmington,108,36788.53,33967.69,32071.81,1895.88
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210033,CARROLL HOSPITAL CENTER,291 STONER AVENUE,WESTMINSTER,Maryland,21157,MD - Baltimore,284,23542.06,21789.52,19695.98,2093.54
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210034,MEDSTAR HARBOR HOSPITAL,3001 SOUTH  HANOVER STREET,BALTIMORE,Maryland,21225,MD - Baltimore,170,26170.31,24345.78,20850.86,3494.92
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210035,UNIVERSITY OF MD CHARLES REGIONAL  MEDICAL CENTER,5 GARRETT AVENUE,LA PLATA,Maryland,20646,DC - Washington,100,22908.49,21361.53,19174.45,2187.08
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210037,UNIVERSITY OF MD SHORE MEDICAL CENTER AT EASTON,219 SOUTH  WASHINGTON STREET,EASTON,Maryland,21601,MD - Baltimore,294,17798.03,16477.43,14726.98,1750.45
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210038,UNIVERSITY OF MD MEDICAL CENTER MIDTOWN CAMPUS,827 LINDEN AVENUE,BALTIMORE,Maryland,21201,MD - Baltimore,19,30408.58,28263.89,24317.95,3945.94
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210039,CALVERT MEMORIAL HOSPITAL,100 HOSPITAL ROAD,PRINCE FREDERICK,Maryland,20678,DC - Washington,80,31914.43,29445.16,27936.65,1508.51
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210040,NORTHWEST HOSPITAL CENTER,5401 OLD COURT ROAD,RANDALLSTOWN,Maryland,21133,MD - Baltimore,93,29725.98,27652.58,23524.01,4128.57
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210043,UNIVERSITY OF MD BALTO WASHINGTON  MEDICAL CENTER,301 HOSPITAL DRIVE,GLEN BURNIE,Maryland,21061,MD - Baltimore,222,23154.55,21562.98,18175.76,3387.22
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210044,GREATER BALTIMORE MEDICAL CENTER,6701 NORTH  CHARLES STREET,BALTIMORE,Maryland,21204,MD - Baltimore,332,20939.75,19377.81,17524.99,1852.82
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210048,HOWARD COUNTY GENERAL HOSPITAL,5755 CEDAR LANE,COLUMBIA,Maryland,21044,MD - Baltimore,164,17823.36,16567.61,14335.03,2232.58
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210049,UNIVERSITY OF M D UPPER CHESAPEAKE MEDICAL CENTER,500 UPPER CHESAPEAKE DRIVE,BEL AIR,Maryland,21014,MD - Baltimore,231,20274.22,18768.72,16422.09,2346.63
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210051,DOCTORS'  COMMUNITY HOSPITAL,8118 GOOD LUCK ROAD,LANHAM,Maryland,20706,MD - Takoma Park,79,23134.62,21445.77,19010.95,2434.82
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210055,LAUREL REGIONAL MEDICAL CENTER,7300 VAN DUSEN ROAD,LAUREL,Maryland,20707,MD - Takoma Park,39,23101.46,21343.97,19783.9,1560.07
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210056,MEDSTAR GOOD SAMARITAN HOSPITAL,5601 LOCH RAVEN BOULEVARD,BALTIMORE,Maryland,21239,MD - Baltimore,212,33467.55,31216.25,25261.02,5955.23
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210057,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,9901 MEDICAL CENTER DRIVE,ROCKVILLE,Maryland,20850,DC - Washington,286,25071.1,23210.64,20857.71,2352.93
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210058,UNIV OF MD REHABILITATION &  ORTHOPAEDIC INSTITUTE,2200 KERNAN DRIVE,BALTIMORE,Maryland,21207,MD - Baltimore,127,26575.5,24690.13,21504.05,3186.08
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210060,FORT WASHINGTON HOSPITAL,11711 LIVINGSTON ROAD,FORT WASHINGTON,Maryland,20744,DC - Washington,32,27029.47,25115.81,22127.09,2988.72
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210061,ATLANTIC GENERAL HOSPITAL,9733 HEALTHWAY DRIVE,BERLIN,Maryland,21811,MD - Salisbury,109,20213.17,18709.04,16914.83,1794.21
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210062,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,7503 SURRATTS ROAD,CLINTON,Maryland,20735,DC - Washington,161,30494.77,28247.09,25681.24,2565.85
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210063,UNIVERSITY OF MARYLAND ST JOSEPH MEDICAL CENTER,7601 OSLER DRIVE,TOWSON,Maryland,21204,MD - Baltimore,696,16687.29,15534.27,13295.54,2238.73
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,210065,HOLY CROSS GERMANTOWN HOSPITAL,19801 OBSERVATION DRIVE,GERMANTOWN,Maryland,20876,DC - Washington,21,29968.1,28674.24,26554.38,2119.86
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220001,"HEALTHALLIANCE HOSPITALS, INC",60 HOSPITAL ROAD,LEOMINSTER,Massachusetts,1453,MA - Worcester,80,31889.99,16674.46,15398.86,1275.6
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,Massachusetts,2138,MA - Boston,161,19660.62,18505.15,16625.1,1880.05
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220008,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,Massachusetts,2703,RI - Providence,140,31168.32,16320.54,12807.68,3512.86
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220010,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,Massachusetts,1842,MA - Boston,51,42498.59,17874.06,16129.49,1744.57
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,Massachusetts,2138,MA - Boston,29,35110.14,21159.17,19293.93,1865.24
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220012,CAPE COD HOSPITAL,88 LEWIS BAY ROAD,HYANNIS,Massachusetts,2601,MA - Boston,409,38365.92,18466.07,16637.9,1828.17
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220015,"COOLEY DICKINSON HOSPITAL INC,THE",30 LOCUST STREET,NORTHAMPTON,Massachusetts,1060,MA - Springfield,160,47362.31,16086.93,13621.46,2465.47
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220016,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,Massachusetts,1301,MA - Springfield,42,36213.9,16580.67,14827.57,1753.1
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,Massachusetts,2124,MA - Boston,16,22239.94,20742.94,18984.44,1758.5
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220019,HARRINGTON MEMORIAL HOSPITAL,100 SOUTH STREET,SOUTHBRIDGE,Massachusetts,1550,MA - Worcester,43,34125.4,15847.21,14601.53,1245.68
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220020,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,Massachusetts,2721,MA - Boston,209,32087.31,16211.12,14494.08,1717.04
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220024,HOLYOKE MEDICAL CENTER,575 BEECH STREET,HOLYOKE,Massachusetts,1040,MA - Springfield,58,29267.52,16330.09,14446.22,1883.87
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220029,ANNA JAQUES HOSPITAL,25 HIGHLAND AVENUE,NEWBURYPORT,Massachusetts,1950,MA - Boston,107,29220.54,15486.36,13431.06,2055.3
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,Massachusetts,2118,MA - Boston,51,39535.29,25141.82,22367.82,2774
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220033,BEVERLY HOSPITAL CORPORATION,85 HERRICK STREET,BEVERLY,Massachusetts,1915,MA - Boston,362,21334.19,15986.6,14382.22,1604.38
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220035,NORTH SHORE MEDICAL CENTER,81 HIGHLAND AVENUE,SALEM,Massachusetts,1970,MA - Boston,335,39777.96,16883.84,15089.51,1794.33
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,Massachusetts,2135,MA - Boston,64,30972.34,22153.84,19063.28,3090.56
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220046,BERKSHIRE MEDICAL CENTER INC,725 NORTH STREET,PITTSFIELD,Massachusetts,1201,NY - Albany,298,35937.69,18503.93,16743.86,1760.07
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220049,MARLBOROUGH HOSPITAL,157 UNION STREET,MARLBOROUGH,Massachusetts,1752,MA - Worcester,68,41701.85,15835.68,13810.56,2025.12
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220050,BAYSTATE MARY LANE HOSPITAL,85 SOUTH STREET,WARE,Massachusetts,1082,MA - Springfield,20,33035.4,15384.85,12692.9,2691.95
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220052,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,680 CENTER STREET,BROCKTON,Massachusetts,2302,MA - Boston,75,31424.69,17377.85,15675.44,1702.41
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220060,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,275 SANDWICH STREET,PLYMOUTH,Massachusetts,2360,MA - Boston,310,31201.85,15385.72,13560.37,1825.35
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220063,LOWELL GENERAL HOSPITAL,295 VARNUM AVENUE,LOWELL,Massachusetts,1854,MA - Boston,355,27979.27,17103.37,14420.04,2683.33
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220065,NOBLE HOSPITAL,115 WEST SILVER STREET,WESTFIELD,Massachusetts,1085,MA - Springfield,31,42623.61,15235.45,13535.16,1700.29
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220066,MERCY MEDICAL CTR,271 CAREW STREET,SPRINGFIELD,Massachusetts,1104,MA - Springfield,123,36196.89,17207.11,15101.24,2105.87
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220067,QUINCY MEDICAL CENTER,114 WHITWELL STREET,QUINCY,Massachusetts,2169,MA - Boston,17,33265.41,15947.35,11713.06,4234.29
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220070,HALLMARK HEALTH SYSTEM,585 LEBANON STREET,MELROSE,Massachusetts,2176,MA - Boston,123,26990.89,16311.83,13465.06,2846.77
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,Massachusetts,2114,MA - Boston,808,60962.28,20776.28,18129.4,2646.88
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220073,MORTON HOSPITAL,88 WASHINGTON STREET,TAUNTON,Massachusetts,2780,MA - Boston,87,23437.48,15616.47,14067.33,1549.14
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220074,"SOUTHCOAST HOSPITAL GROUP, INC",363 HIGHLAND AVENUE,FALL RIVER,Massachusetts,2720,MA - Boston,374,44481.25,17529.3,14031.15,3498.15
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220077,BAYSTATE MEDICAL CENTER,759 CHESTNUT STREET,SPRINGFIELD,Massachusetts,1199,MA - Springfield,428,35937.48,20409.76,17154.02,3255.74
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220080,HOLY FAMILY HOSPITAL,70 EAST STREET,METHUEN,Massachusetts,1844,MA - Boston,211,33576.49,16573.04,14591.85,1981.19
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,148 CHESTNUT STREET,NEEDHAM,Massachusetts,2494,MA - Boston,41,18594.1,14850.34,13722.93,1127.41
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220084,EMERSON HOSPITAL,OLD ROAD TO 9 ACRE CORNER,W CONCORD,Massachusetts,1742,MA - Boston,159,37698.48,15212.89,12894.75,2318.14
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,Massachusetts,2215,MA - Boston,296,27368.93,22298.21,19679.99,2618.22
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220088,NEW ENGLAND BAPTIST HOSPITAL,125 PARKER HILL AVENUE,BOSTON,Massachusetts,2120,MA - Boston,2120,24226.8,15918.83,13184.69,2734.14
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220090,MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT STREET,MILFORD,Massachusetts,1757,MA - Boston,111,39322.34,15709.77,14506.27,1203.5
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,470,Hip or Knee Replacement,220095,HEYWOOD HOSPITAL,242 GREEN STREET,GARDNER,Massachusetts,1440,MA - Worcester,72,32583,16156.18,14465.4,1690.78
